Date	Power	Temp
1/1/2005	156.545	45.85714286
1/1/2005	147.924	46
1/1/2005	141.037	45.57142857
1/1/2005	139.125	46.28571429
1/1/2005	140.482	45.57142857
1/1/2005	144.726	43.85714286
1/1/2005	151.682	45.14285714
1/1/2005	160.795	44.28571429
1/1/2005	176.263	47.57142857
1/1/2005	179.873	53.85714286
1/1/2005	177.61	58.85714286
1/1/2005	173.02	64.28571429
1/1/2005	163.495	67.71428571
1/1/2005	154.555	68.71428571
1/1/2005	148.92	68.71428571
1/1/2005	147.001	68.57142857
1/1/2005	151.095	66.14285714
1/1/2005	173.793	61.57142857
1/1/2005	190.031	57.71428571
1/1/2005	185.218	55.57142857
1/1/2005	177.967	54
1/1/2005	169.502	52.71428571
1/1/2005	155.938	51.14285714
1/1/2005	139.258	51
1/2/2005	125.346	49.85714286
1/2/2005	118.416	48.85714286
1/2/2005	116.78	48.14285714
1/2/2005	118.143	47.28571429
1/2/2005	122.795	44.85714286
1/2/2005	129.928	44
1/2/2005	143.2	43.71428571
1/2/2005	163.824	44.14285714
1/2/2005	189.415	47.71428571
1/2/2005	188.124	53.85714286
1/2/2005	169.805	60.14285714
1/2/2005	155.386	63.71428571
1/2/2005	152.769	65.42857143
1/2/2005	148.993	66.28571429
1/2/2005	143.25	66.57142857
1/2/2005	140.381	66.14285714
1/2/2005	144.44	64.14285714
1/2/2005	172	59.14285714
1/2/2005	193.696	56.28571429
1/2/2005	193.642	54.14285714
1/2/2005	187.023	54
1/2/2005	175.177	52.57142857
1/2/2005	155.832	51.28571429
1/2/2005	135.549	49.85714286
1/3/2005	122.339	47.85714286
1/3/2005	118.007	48
1/3/2005	118.395	46.57142857
1/3/2005	121.96	45.71428571
1/3/2005	130.08	45.71428571
1/3/2005	149.409	45.42857143
1/3/2005	175.835	44.71428571
1/3/2005	182.662	44.85714286
1/3/2005	178.082	49.28571429
1/3/2005	173.236	54.85714286
1/3/2005	163.255	60.42857143
1/3/2005	155.088	64.28571429
1/3/2005	149.04	67
1/3/2005	142.998	67.57142857
1/3/2005	139.973	67.85714286
1/3/2005	139.375	67.28571429
1/3/2005	147.925	64.71428571
1/3/2005	176.941	62.28571429
1/3/2005	206.153	61.71428571
1/3/2005	207.321	60.14285714
1/3/2005	198.564	60.28571429
1/3/2005	181.833	58.85714286
1/3/2005	156.097	57.42857143
1/3/2005	130.021	58.14285714
1/4/2005	112.989	57.71428571
1/4/2005	106.235	57
1/4/2005	104.199	56.14285714
1/4/2005	104.42	55.85714286
1/4/2005	110.352	55.85714286
1/4/2005	130.518	54.71428571
1/4/2005	165.65	54.14285714
1/4/2005	170.033	54.71428571
1/4/2005	153.113	56.85714286
1/4/2005	144.468	61.42857143
1/4/2005	138.553	65.85714286
1/4/2005	135.031	70
1/4/2005	133.268	71.85714286
1/4/2005	131.919	73.42857143
1/4/2005	131.724	73.42857143
1/4/2005	134.757	72.85714286
1/4/2005	141.92	69.85714286
1/4/2005	169.484	66.42857143
1/4/2005	198.253	64.42857143
1/4/2005	199.114	63.42857143
1/4/2005	192.287	63.85714286
1/4/2005	174.515	62.14285714
1/4/2005	149.467	61.57142857
1/4/2005	121.726	61.71428571
1/5/2005	104.565	60.42857143
1/5/2005	96.84	58.71428571
1/5/2005	94.634	57
1/5/2005	95.623	55.85714286
1/5/2005	102.136	56
1/5/2005	124.298	56.14285714
1/5/2005	163.341	56.28571429
1/5/2005	166.844	55.85714286
1/5/2005	149.561	57.28571429
1/5/2005	140.662	61.57142857
1/5/2005	135.669	64.42857143
1/5/2005	132.079	66.57142857
1/5/2005	130.654	68.71428571
1/5/2005	127.779	69.28571429
1/5/2005	126.039	68.71428571
1/5/2005	129.564	68.28571429
1/5/2005	139.329	65.85714286
1/5/2005	169.886	63
1/5/2005	197.035	62
1/5/2005	195.727	61
1/5/2005	189.599	60.71428571
1/5/2005	176.341	60.28571429
1/5/2005	150.423	59.42857143
1/5/2005	123.757	59.14285714
1/6/2005	107.946	58.28571429
1/6/2005	102.144	58
1/6/2005	99.825	57.42857143
1/6/2005	100.859	57.42857143
1/6/2005	107.084	58.28571429
1/6/2005	127.78	57.57142857
1/6/2005	166.032	57.71428571
1/6/2005	169.466	57.85714286
1/6/2005	150.995	59.71428571
1/6/2005	145.449	61.57142857
1/6/2005	141.949	63.42857143
1/6/2005	138.987	65.71428571
1/6/2005	135.396	66.42857143
1/6/2005	132.923	65.42857143
1/6/2005	131.465	64.57142857
1/6/2005	137.457	65
1/6/2005	149.239	63.85714286
1/6/2005	174.788	63.42857143
1/6/2005	197.42	62.85714286
1/6/2005	198.447	62
1/6/2005	193.57	61
1/6/2005	177.003	60
1/6/2005	152.605	58.57142857
1/6/2005	128.032	57.28571429
1/7/2005	111.621	55.71428571
1/7/2005	105.98	55
1/7/2005	104.822	53.14285714
1/7/2005	106.6	51.28571429
1/7/2005	113.536	49.85714286
1/7/2005	136.573	48.14285714
1/7/2005	178.342	46.85714286
1/7/2005	184.53	46
1/7/2005	165.119	49.85714286
1/7/2005	158.12	53.28571429
1/7/2005	150.052	55.57142857
1/7/2005	143.043	57.28571429
1/7/2005	139.199	58.57142857
1/7/2005	134.826	60.14285714
1/7/2005	131.926	60.71428571
1/7/2005	134.451	61
1/7/2005	141.841	59.42857143
1/7/2005	167.857	58
1/7/2005	187.906	56.42857143
1/7/2005	182.566	56.14285714
1/7/2005	177.1	56.28571429
1/7/2005	167.515	54.57142857
1/7/2005	154.516	54.28571429
1/7/2005	135.599	53.28571429
1/8/2005	120.29	52.85714286
1/8/2005	111.896	52.14285714
1/8/2005	108.874	51.85714286
1/8/2005	109.066	51.57142857
1/8/2005	111.348	51.71428571
1/8/2005	116.849	51.71428571
1/8/2005	126.358	52.57142857
1/8/2005	140.613	53.14285714
1/8/2005	157.33	54.71428571
1/8/2005	168.881	57
1/8/2005	171.513	59.57142857
1/8/2005	168.229	61.28571429
1/8/2005	161.64	62.42857143
1/8/2005	154.324	65.28571429
1/8/2005	148.935	66
1/8/2005	146.992	65.14285714
1/8/2005	149.77	64.14285714
1/8/2005	166.561	60.42857143
1/8/2005	186.506	58
1/8/2005	182.54	55.85714286
1/8/2005	177.851	55.28571429
1/8/2005	169.805	54
1/8/2005	158.842	51.85714286
1/8/2005	142.696	50.71428571
1/9/2005	129.81	49.57142857
1/9/2005	122.627	47.71428571
1/9/2005	122.176	46
1/9/2005	124.299	45
1/9/2005	128.616	44.14285714
1/9/2005	136.82	44
1/9/2005	150.386	43.42857143
1/9/2005	172.917	42.57142857
1/9/2005	199.872	44.42857143
1/9/2005	198.357	47.42857143
1/9/2005	180.796	50.14285714
1/9/2005	166.886	51.71428571
1/9/2005	161.394	53
1/9/2005	154.025	53.85714286
1/9/2005	146.333	55
1/9/2005	144.689	55
1/9/2005	151.287	53.71428571
1/9/2005	176.959	50.28571429
1/9/2005	208.47	47.28571429
1/9/2005	214.137	46.28571429
1/9/2005	212.432	45
1/9/2005	199.38	43.14285714
1/9/2005	179.452	42.42857143
1/9/2005	158.126	40.57142857
1/10/2005	147.595	39.85714286
1/10/2005	145.742	39.57142857
1/10/2005	148.706	38.85714286
1/10/2005	153.038	38.42857143
1/10/2005	161.992	38.85714286
1/10/2005	186.216	40
1/10/2005	225.06	40.71428571
1/10/2005	225.025	40.42857143
1/10/2005	200.362	42.85714286
1/10/2005	181.581	46.57142857
1/10/2005	166.361	50.71428571
1/10/2005	152.977	57.71428571
1/10/2005	142.607	61.14285714
1/10/2005	135.239	64
1/10/2005	130.964	64.71428571
1/10/2005	133.051	64.42857143
1/10/2005	144.8	61.42857143
1/10/2005	176.668	57.42857143
1/10/2005	207.927	54.28571429
1/10/2005	211.89	53.14285714
1/10/2005	208.58	49.57142857
1/10/2005	194.433	48.28571429
1/10/2005	169.332	47.42857143
1/10/2005	146.884	47
1/11/2005	134.621	44.85714286
1/11/2005	132.008	44.85714286
1/11/2005	133.114	43.57142857
1/11/2005	136.257	43.14285714
1/11/2005	146.041	42.71428571
1/11/2005	171.008	42.57142857
1/11/2005	211.266	42.28571429
1/11/2005	213.171	42.42857143
1/11/2005	190.843	46.28571429
1/11/2005	175.15	51.57142857
1/11/2005	161.211	54.28571429
1/11/2005	149.756	56.28571429
1/11/2005	140.731	58.57142857
1/11/2005	133.966	59.42857143
1/11/2005	130.015	60.57142857
1/11/2005	133.216	60.42857143
1/11/2005	144.086	60
1/11/2005	174.329	56.42857143
1/11/2005	206.557	54.14285714
1/11/2005	210.775	52.42857143
1/11/2005	205.993	50.42857143
1/11/2005	190.819	49.28571429
1/11/2005	167.032	49.28571429
1/11/2005	143.249	47.85714286
1/12/2005	129.382	47.42857143
1/12/2005	125.572	48
1/12/2005	124.442	47.57142857
1/12/2005	125.661	47.28571429
1/12/2005	132.579	48
1/12/2005	154.815	48.85714286
1/12/2005	193.491	49.28571429
1/12/2005	192.783	50.28571429
1/12/2005	170.273	52.71428571
1/12/2005	157.45	55.71428571
1/12/2005	147.7	60
1/12/2005	140.526	62.71428571
1/12/2005	136.022	65.14285714
1/12/2005	131.55	68
1/12/2005	128.767	68.85714286
1/12/2005	131.11	68
1/12/2005	142.399	66.71428571
1/12/2005	171.462	64
1/12/2005	197.226	62.57142857
1/12/2005	195.826	62.14285714
1/12/2005	188.256	61.71428571
1/12/2005	175.693	61.28571429
1/12/2005	148.797	60.71428571
1/12/2005	122.052	60.71428571
1/13/2005	106.016	60.71428571
1/13/2005	99.295	61.14285714
1/13/2005	96.127	61
1/13/2005	95.773	61.42857143
1/13/2005	100.854	61.28571429
1/13/2005	120.561	61.57142857
1/13/2005	158.879	61.85714286
1/13/2005	162.411	62.28571429
1/13/2005	144.819	63.14285714
1/13/2005	138.803	65
1/13/2005	135.346	67.14285714
1/13/2005	132.351	69.57142857
1/13/2005	130.687	71
1/13/2005	129.387	71.57142857
1/13/2005	127.958	71.42857143
1/13/2005	130.99	71
1/13/2005	141.433	69
1/13/2005	167.438	68
1/13/2005	192.056	67
1/13/2005	194.207	67.42857143
1/13/2005	187.826	67.42857143
1/13/2005	173.347	68
1/13/2005	148.434	67.57142857
1/13/2005	122.736	66.71428571
1/14/2005	105.389	66
1/14/2005	97.724	64.14285714
1/14/2005	94.228	62.42857143
1/14/2005	93.822	61
1/14/2005	97.799	60.14285714
1/14/2005	116.107	57.57142857
1/14/2005	152.821	56.85714286
1/14/2005	162.453	55.42857143
1/14/2005	150.47	53.85714286
1/14/2005	150.482	52.71428571
1/14/2005	153.648	50.71428571
1/14/2005	154.938	49.71428571
1/14/2005	154.534	49.14285714
1/14/2005	153.547	49.85714286
1/14/2005	154.834	49.14285714
1/14/2005	161.616	48.42857143
1/14/2005	171.516	48
1/14/2005	194.189	45.42857143
1/14/2005	221.777	44.14285714
1/14/2005	221.993	41.71428571
1/14/2005	221.169	40.57142857
1/14/2005	215.464	39.71428571
1/14/2005	205.282	38.42857143
1/14/2005	191.128	37.42857143
1/15/2005	180.275	35.85714286
1/15/2005	177.508	35.14285714
1/15/2005	179.321	34
1/15/2005	182.861	33.85714286
1/15/2005	189.729	32.85714286
1/15/2005	198.356	32.85714286
1/15/2005	210.537	32.85714286
1/15/2005	228.506	33.42857143
1/15/2005	248.676	34.14285714
1/15/2005	251.226	37.42857143
1/15/2005	237.864	38.71428571
1/15/2005	222.535	40.71428571
1/15/2005	207.697	42.14285714
1/15/2005	197.81	42.85714286
1/15/2005	192.453	43.14285714
1/15/2005	194.762	43.14285714
1/15/2005	206.554	41.85714286
1/15/2005	227.982	40.42857143
1/15/2005	247.555	38.57142857
1/15/2005	244.176	37.57142857
1/15/2005	242.706	36.57142857
1/15/2005	234.982	36.42857143
1/15/2005	223.998	36
1/15/2005	206.878	35.57142857
1/16/2005	192.905	35
1/16/2005	187.453	34.57142857
1/16/2005	185.873	34.14285714
1/16/2005	187.231	33.85714286
1/16/2005	190.408	33.28571429
1/16/2005	196.564	33.14285714
1/16/2005	207.381	32.71428571
1/16/2005	228.103	32
1/16/2005	252.651	33
1/16/2005	248.134	35.57142857
1/16/2005	222.404	37.57142857
1/16/2005	203.278	40.71428571
1/16/2005	193.33	43.28571429
1/16/2005	181.874	44.71428571
1/16/2005	170.527	45.57142857
1/16/2005	166.02	45.85714286
1/16/2005	174.584	44.85714286
1/16/2005	203.483	42.14285714
1/16/2005	237.121	39
1/16/2005	244.812	37.14285714
1/16/2005	245.629	35.57142857
1/16/2005	238.291	34
1/16/2005	223.395	33.42857143
1/16/2005	207.964	31.57142857
1/17/2005	200.574	30.28571429
1/17/2005	202.903	29.14285714
1/17/2005	209.625	28.42857143
1/17/2005	218.355	27
1/17/2005	231.274	25.71428571
1/17/2005	254.807	24.28571429
1/17/2005	281.082	23.42857143
1/17/2005	293.976	23
1/17/2005	292.942	24.85714286
1/17/2005	285.15	26.42857143
1/17/2005	273.437	28.42857143
1/17/2005	257.319	30
1/17/2005	240.838	31.57142857
1/17/2005	228.109	32.57142857
1/17/2005	219.542	33.28571429
1/17/2005	220.037	33.42857143
1/17/2005	235.461	32.28571429
1/17/2005	279.107	30
1/17/2005	319.404	28
1/17/2005	327.282	26.71428571
1/17/2005	325.066	24.85714286
1/17/2005	311.024	24.28571429
1/17/2005	287.114	23.57142857
1/17/2005	267.387	22.28571429
1/18/2005	259.416	21.57142857
1/18/2005	261.588	20.85714286
1/18/2005	267.033	19.57142857
1/18/2005	273.639	19.28571429
1/18/2005	285.307	18.85714286
1/18/2005	314.389	18.28571429
1/18/2005	356.132	17.14285714
1/18/2005	353.248	17
1/18/2005	320.226	18.85714286
1/18/2005	307.518	21.14285714
1/18/2005	280.995	23.42857143
1/18/2005	258.837	25.42857143
1/18/2005	240.121	27.28571429
1/18/2005	224.689	28.57142857
1/18/2005	215.725	30.14285714
1/18/2005	216.815	30.57142857
1/18/2005	234.608	29.85714286
1/18/2005	278.461	27.71428571
1/18/2005	324.092	25.28571429
1/18/2005	337.256	23.71428571
1/18/2005	335.566	22
1/18/2005	325.843	20.71428571
1/18/2005	308.797	20.14285714
1/18/2005	290.285	18.71428571
1/19/2005	284.984	17.85714286
1/19/2005	288.658	17.42857143
1/19/2005	295.093	16.57142857
1/19/2005	301.772	16.28571429
1/19/2005	308.911	16.71428571
1/19/2005	332.116	17.14285714
1/19/2005	360.064	18.85714286
1/19/2005	345.789	20.42857143
1/19/2005	331.565	22.14285714
1/19/2005	312.474	24
1/19/2005	303.797	25.28571429
1/19/2005	294.8	27.28571429
1/19/2005	285.993	29.14285714
1/19/2005	274.521	30.71428571
1/19/2005	265.761	33
1/19/2005	257.305	34.28571429
1/19/2005	261.769	34.42857143
1/19/2005	288.019	32.57142857
1/19/2005	317.864	31.71428571
1/19/2005	318.17	30.42857143
1/19/2005	308.79	29.71428571
1/19/2005	297.276	28.71428571
1/19/2005	271.815	27.28571429
1/19/2005	247.432	27.28571429
1/20/2005	235.229	26.14285714
1/20/2005	233.242	26.28571429
1/20/2005	235.681	26.28571429
1/20/2005	236.964	26
1/20/2005	245.418	27
1/20/2005	268.225	25.42857143
1/20/2005	304.566	26
1/20/2005	303.892	26.42857143
1/20/2005	279.485	31.42857143
1/20/2005	258.289	35.71428571
1/20/2005	240.131	40.42857143
1/20/2005	219.473	42.57142857
1/20/2005	202.36	43.71428571
1/20/2005	192.638	44.42857143
1/20/2005	186.54	45.28571429
1/20/2005	189.07	45.14285714
1/20/2005	203.319	44.42857143
1/20/2005	231.841	43.28571429
1/20/2005	259.914	41.85714286
1/20/2005	263.199	41.28571429
1/20/2005	258.606	40.42857143
1/20/2005	242.418	39.85714286
1/20/2005	218.103	39.71428571
1/20/2005	193.151	38.57142857
1/21/2005	179.704	37.71428571
1/21/2005	175.397	37.42857143
1/21/2005	175.158	37.14285714
1/21/2005	176.88	36.57142857
1/21/2005	185.019	36.28571429
1/21/2005	207.375	36.14285714
1/21/2005	241.3	35.71428571
1/21/2005	247.239	35.85714286
1/21/2005	235.309	36.57142857
1/21/2005	227.239	37.85714286
1/21/2005	215.684	39.42857143
1/21/2005	205.361	39.42857143
1/21/2005	201.442	39.57142857
1/21/2005	202.635	39.14285714
1/21/2005	205.42	39.57142857
1/21/2005	212.997	38.28571429
1/21/2005	228.452	37
1/21/2005	251.824	35.57142857
1/21/2005	269.551	34.85714286
1/21/2005	266.494	34.71428571
1/21/2005	261.928	34.14285714
1/21/2005	254.107	33.28571429
1/21/2005	240.862	33.42857143
1/21/2005	224.914	32.85714286
1/22/2005	211.407	32
1/22/2005	205.399	31.42857143
1/22/2005	204.129	31
1/22/2005	204.627	30.85714286
1/22/2005	209.571	30.57142857
1/22/2005	217.503	30.14285714
1/22/2005	227.79	29.71428571
1/22/2005	246.128	29
1/22/2005	270.051	28.85714286
1/22/2005	289.671	29.71428571
1/22/2005	298.107	30.28571429
1/22/2005	301.507	30.14285714
1/22/2005	297.191	30.85714286
1/22/2005	290.3	31.28571429
1/22/2005	281.685	32
1/22/2005	277.839	33
1/22/2005	281.861	33.28571429
1/22/2005	291.907	33.71428571
1/22/2005	297.724	33.42857143
1/22/2005	286.837	33.57142857
1/22/2005	274.6	33.57142857
1/22/2005	259.595	33.14285714
1/22/2005	244.685	31.85714286
1/22/2005	234.245	30.14285714
1/23/2005	231.264	28.71428571
1/23/2005	233.897	26.42857143
1/23/2005	242.958	24.14285714
1/23/2005	254.297	22.28571429
1/23/2005	265.77	20.57142857
1/23/2005	279.114	19.57142857
1/23/2005	296.478	18.71428571
1/23/2005	318.86	18.42857143
1/23/2005	338.111	20
1/23/2005	335.047	22.14285714
1/23/2005	320.372	24.57142857
1/23/2005	306.795	26.28571429
1/23/2005	294.627	26.57142857
1/23/2005	279.795	27.85714286
1/23/2005	268.075	28.42857143
1/23/2005	263.286	28.57142857
1/23/2005	272.544	27.14285714
1/23/2005	304.78	26.14285714
1/23/2005	341.965	24.42857143
1/23/2005	349.093	23.28571429
1/23/2005	348.31	21.71428571
1/23/2005	335.177	20.42857143
1/23/2005	314.124	19.57142857
1/23/2005	293.906	17.85714286
1/24/2005	285.756	16.71428571
1/24/2005	287.779	15.57142857
1/24/2005	293.076	15.57142857
1/24/2005	301.029	14.71428571
1/24/2005	315.507	14.71428571
1/24/2005	345.954	12.85714286
1/24/2005	381.175	13
1/24/2005	381.629	14
1/24/2005	350.003	20.42857143
1/24/2005	319.531	26.71428571
1/24/2005	272.814	31.57142857
1/24/2005	243.989	36
1/24/2005	226.498	38.57142857
1/24/2005	209.935	40.28571429
1/24/2005	200.318	41.71428571
1/24/2005	207.992	42.28571429
1/24/2005	227.708	41.85714286
1/24/2005	253.645	40.14285714
1/24/2005	286.823	38.57142857
1/24/2005	291.115	37.57142857
1/24/2005	285.784	35.85714286
1/24/2005	272.3	35.57142857
1/24/2005	246.256	34
1/24/2005	224.246	31.14285714
1/25/2005	213.475	29.28571429
1/25/2005	213.005	29.42857143
1/25/2005	216.37	29.14285714
1/25/2005	222.29	29.28571429
1/25/2005	232.86	28.71428571
1/25/2005	258.682	29
1/25/2005	299.115	29.28571429
1/25/2005	297.337	27.71428571
1/25/2005	268.285	35.42857143
1/25/2005	233.501	42
1/25/2005	204.264	46.42857143
1/25/2005	182.897	49.71428571
1/25/2005	166.953	52
1/25/2005	155.795	54.42857143
1/25/2005	147.889	55.14285714
1/25/2005	147.757	55.14285714
1/25/2005	158.238	53.71428571
1/25/2005	185.577	50.42857143
1/25/2005	228.626	46.57142857
1/25/2005	240.833	44.57142857
1/25/2005	239.817	42.42857143
1/25/2005	232.333	41.71428571
1/25/2005	211.542	41.57142857
1/25/2005	188.502	40.14285714
1/26/2005	176.201	37.57142857
1/26/2005	173.968	36.57142857
1/26/2005	175.19	37.28571429
1/26/2005	176.228	38.28571429
1/26/2005	182.393	39
1/26/2005	203.848	38.85714286
1/26/2005	241.207	39.85714286
1/26/2005	237.801	42.14285714
1/26/2005	211.272	43.42857143
1/26/2005	194.202	48.42857143
1/26/2005	178.14	53
1/26/2005	160.999	58
1/26/2005	150.167	62
1/26/2005	143.37	63.71428571
1/26/2005	137.681	65.28571429
1/26/2005	138.674	65.42857143
1/26/2005	147.238	63.57142857
1/26/2005	170.963	59.57142857
1/26/2005	207.391	56
1/26/2005	211.959	53.42857143
1/26/2005	207.375	53.57142857
1/26/2005	199.737	51.85714286
1/26/2005	179.641	49.14285714
1/26/2005	156.759	48
1/27/2005	145.658	44.85714286
1/27/2005	144.164	43.57142857
1/27/2005	147.459	41.85714286
1/27/2005	153.132	40.71428571
1/27/2005	165.024	38
1/27/2005	193.275	37.71428571
1/27/2005	239.068	37
1/27/2005	242.247	36.57142857
1/27/2005	219.744	38
1/27/2005	204.217	39
1/27/2005	191.585	40.57142857
1/27/2005	178.515	42
1/27/2005	168.231	43.71428571
1/27/2005	159.999	44.85714286
1/27/2005	155.019	45.28571429
1/27/2005	158.445	44.71428571
1/27/2005	173.7	43
1/27/2005	209.266	39.28571429
1/27/2005	256.908	36.85714286
1/27/2005	272.766	34.57142857
1/27/2005	277.471	33.57142857
1/27/2005	269.044	32.42857143
1/27/2005	248.508	31.42857143
1/27/2005	227.858	29.57142857
1/28/2005	218.323	27.85714286
1/28/2005	219.089	27
1/28/2005	224.086	25.71428571
1/28/2005	231.11	24.85714286
1/28/2005	244.27	24.28571429
1/28/2005	273.204	23.42857143
1/28/2005	318.576	22.71428571
1/28/2005	321.908	22.42857143
1/28/2005	302.43	23.14285714
1/28/2005	286.116	25.14285714
1/28/2005	265.411	27
1/28/2005	245.734	29.57142857
1/28/2005	230.045	30.85714286
1/28/2005	219.938	31.85714286
1/28/2005	217.912	32.71428571
1/28/2005	219.02	33
1/28/2005	229.066	32.14285714
1/28/2005	260.465	30.57142857
1/28/2005	289.655	30.57142857
1/28/2005	290.799	29.28571429
1/28/2005	288.585	27.85714286
1/28/2005	282.852	27.14285714
1/28/2005	271.079	26.57142857
1/28/2005	253.648	26.71428571
1/29/2005	238.61	26.14285714
1/29/2005	233.358	26
1/29/2005	234.789	24.57142857
1/29/2005	236.844	25
1/29/2005	242.103	24.42857143
1/29/2005	250.341	24.28571429
1/29/2005	261.662	24.28571429
1/29/2005	279.026	23.71428571
1/29/2005	302.314	24.28571429
1/29/2005	313.361	25.28571429
1/29/2005	314.39	25.85714286
1/29/2005	314.38	27.14285714
1/29/2005	312.988	27.57142857
1/29/2005	306.06	27.85714286
1/29/2005	295.22	27.71428571
1/29/2005	289.338	28.42857143
1/29/2005	296.561	28.42857143
1/29/2005	309.89	28.71428571
1/29/2005	323.85	28.57142857
1/29/2005	313.363	29.42857143
1/29/2005	296.475	29.71428571
1/29/2005	276.577	30.14285714
1/29/2005	257.728	30.71428571
1/29/2005	237.681	30.85714286
1/30/2005	223.112	31.28571429
1/30/2005	216.333	31.42857143
1/30/2005	214.388	31.71428571
1/30/2005	214.476	31.42857143
1/30/2005	217.592	31.71428571
1/30/2005	220.784	31.42857143
1/30/2005	226.568	31.71428571
1/30/2005	238.029	31.57142857
1/30/2005	259.389	31.71428571
1/30/2005	271.208	32.57142857
1/30/2005	266.563	33.71428571
1/30/2005	256.994	35.42857143
1/30/2005	242.596	37.42857143
1/30/2005	219.076	39.85714286
1/30/2005	199.231	41.85714286
1/30/2005	190.862	43.85714286
1/30/2005	195.438	43.42857143
1/30/2005	214.999	40.85714286
1/30/2005	249.833	37.57142857
1/30/2005	259.179	36.85714286
1/30/2005	254.748	35.71428571
1/30/2005	238.282	34.57142857
1/30/2005	214.075	34
1/30/2005	192.34	35.71428571
1/31/2005	178.469	35.85714286
1/31/2005	176.276	35.28571429
1/31/2005	180.998	35.42857143
1/31/2005	190.499	34.42857143
1/31/2005	205.379	34
1/31/2005	235.211	33.14285714
1/31/2005	276.134	32.28571429
1/31/2005	278.087	32.57142857
1/31/2005	255.498	35
1/31/2005	229.304	37.57142857
1/31/2005	208.208	39.85714286
1/31/2005	193.467	42.28571429
1/31/2005	181.095	44
1/31/2005	170.045	45.42857143
1/31/2005	163.244	45.85714286
1/31/2005	165.53	46
1/31/2005	179.855	44.57142857
1/31/2005	210.834	41.42857143
1/31/2005	255.13	38.57142857
1/31/2005	267.374	36.85714286
1/31/2005	266.842	36.71428571
1/31/2005	253.995	35
1/31/2005	230.717	33.42857143
1/31/2005	209.929	32.42857143
2/1/2005	200.289	32
2/1/2005	200.456	32.14285714
2/1/2005	203.012	31.42857143
2/1/2005	206.159	31.28571429
2/1/2005	214.21	30.85714286
2/1/2005	239.961	31
2/1/2005	277.305	31.42857143
2/1/2005	273.585	31.71428571
2/1/2005	252.267	32.85714286
2/1/2005	236.379	34.42857143
2/1/2005	220.978	37
